DATE,PHOE004UR
2/1/17,4.5
3/1/17,4.4
4/1/17,4.4
5/1/17,4.3
6/1/17,4.3
7/1/17,4.2
8/1/17,4.1
9/1/17,4.1
10/1/17,4.1
11/1/17,4.1
12/1/17,4.2
1/1/18,4.2
2/1/18,4.2
3/1/18,4.2
4/1/18,4.1
5/1/18,4.1
6/1/18,4.1
7/1/18,4.1
8/1/18,4.2
9/1/18,4.2
10/1/18,4.3
11/1/18,4.3
12/1/18,4.3
1/1/19,4.4
2/1/19,4.4
3/1/19,4.4
4/1/19,4.3
5/1/19,4.2
6/1/19,4.2
7/1/19,4.3
8/1/19,4.4
9/1/19,4.2
10/1/19,4.1
